no,항목분류,질환명(한글),질환명(영문),관련질환명,증상,원인,진단,치료
531,신경계통의 질환(G00-G99),선천성 저수초형성 신경병,Congenital Hypomyelination Neuropathy[CHN],"선천성저수초신경병(CHN (Congenital Hypomyelination Neuropathy)),선천성 저수초형성(Congenital Hypomyelination),저수초로 인한 선천성 신경병(Congenital Neuropathy caused by Hypomyelination),저수초신경병(Hypomyelination Neuropathy),","근육 긴장성 저하, 근육 약화, 근육 운동 부조화증, 무반사(Areflexia), 조화운동불능증(운동실조증: Ataxia), ",정확한 원인은 밝혀지지 않음,"근전도검사, 신경 전도 검사, 근육생검","치료법에 대해서 알려진 바가 없으나 증상에 의해 다른 합병증이 나타나지 않도록 주의 깊은 관리가 필요,  물리치료"
532,혈액 및 조혈기관의 질환과 면역기전을 침범하는 특정장애(D50-D89),선천성 적혈구조혈이상빈혈,Congenital dyserythropoietic anaemia,"선천 이적혈구생성 빈혈(Congenital dyserythropoietic anaemia),Type II: DYSERYTHROPOIETIC ANEMIA, HEMPAS TYPE,HEREDITARY ERYTHROBLASTIC MULTINUCLEARITY WITH POSITIVE ACIDIFIED-SERUM TEST; HEMPAS,Type III: ANEMIA WITH MULTINUCLEATED ERYTHROBLASTS,","간헐적 황달(jaundice), 경증이나 중등도의 빈혈(Anemia), 간지라비대(Hepatosplenomegaly), 담석(Gallstone), 철 과부하(Iron overload), 혈청 침착증, 혈색소증, 골격이상, 망막변성","원인 불명확, 일부 생화학적 변화, 핵막 또는 세포질막의 결손등이 보고.CDA I 관련 염색체의 위치 15q15.1-15.3. CDA II관련 염색체의 위치 20q11.2.  CDA III관련 염색체의 위치 15q21-q25.","혈구수 - 골수의 광학 현미경, 적혈구 막단백질의 전자현미경 ; 혈청 빌리루빈(bilirubin), 합토글로불린(haptoglobulin), 젖산탈수소효소(lactate dehydrogenase)의 용량","약물 치료, 대증치료, 유전상담 "
533,"내분비,영양 및 대사 질환(E00-E90)",선천성 전신지방디스트로피,Congenital systemic lipodystrophy,"Berardinelli-Seip congenital lipodystrophy (syndrome) (Berardinelli-Seip Congenital Lipodystrophy),","간비대, 골격근비대, 당뇨, 지방위축",지방세포 분화단계의 이상,"이상형태학(dysmorphology), 혈액검사, 유전자검사","지방섭취제한, 당뇨병 치료"
534,"내분비,영양 및 대사 질환(E00-E90)",선천성 젖당분해효소 결핍,Congenital lactase deficiency,"유당분해효소결핍(Congenital lactase deficiency),유당불내증(Lactose Intolerance),","설사, 탈수",젖당분해효소결핍,"수소 호흡 테스트(Hydrogen Breath test), 소장 조직 검사, LCT 유전자 검사",젖당제한 식이요법
535,출생전후기에 기원한 특정 병태(P00-P96),선천성 중추성 무호흡증,Congenital Central Hypoventilation Sydnrome,"Haddad 증후군,Ondine 증후군,Hirschsprung's disease,",호흡 조절의 장애 (저환기) ,PHOX2B 유전자의 돌연변이,"PHOX2B 유전자 검사, 수면다원검사","acetazolamide, theophylline, 기관절개술을 통한 호흡기 사용, 횡격막 조율"
536,"선천 기형,변형 및 염색체 이상(Q00-Q99)","선천성 척추측만증, 반척추증","Congenital scoliosis,hemivertebrae ","선천성 후측만증,선천성 반척추증,","척추측만증, 청색증",미상,"X-ray, 임상양상","보존적 치료, 수술"
537,"선천 기형,변형 및 염색체 이상(Q00-Q99)",선천성 편측 비대증,Congenital Hemihypertrophy,"특발성 선천성 편측 비대(Idiopathic Congenital Hemihypertrophy),신경 섬유종증(Neurofibromatosis),혈관종(Hemangioma),동정맥 루(Arteriovenous Fistula),섬유성 이형성증(Fibrous dysplasia),지방종(Lipoma),가족형 림프 부종(Milroys disease, familial lymphedema),편측성 상피병(Unilateral elephantiasis),","과성장, 편측 비대증, 하지 부동(다리 길이의 차이)콩팥 낭종, 잠복고환, 해면신, 마제신척추측만증(Scoliosis), 피부/혈관 병변","원인불명, 순환기 계통 이상 발달","임상 진단(신체 수치 측정), 다리 두께 측정, 다리 길이 측정","외과술(미용상 수술, 부분 절제술) 일리자로프(Ilizarov)를 이용한 하지 연장술, 성장판 유합술을 이용한 과성장 하지 성장 억제술 "
538,출생전후기에 기원한 특정 병태(P00-P96),선천성 풍진증후군,Congenital rubella syndrome,",","감각신경성 난청, 백내장, 폐동맥 협착, 뇌 손상, 지적 이상, 소두증, 강직성 양측마비, 조산, 저체중 출생",태아 시기의 산모로부터 풍진 바이러스 감염,"혈액 검사, 증상",없음
539,"선천 기형,변형 및 염색체 이상(Q00-Q99)",선천성 피부무형성,Aplasia cutis congenita,"선천성 두개 및 두피 결손(Congenital Defect of the Skull and Scalp),선천성 두피결손(Scalp Defect Congenital),아담스-올리버 증후군(Adams-Oliver Syndrome),선천성피부결손-위장관계(Aplasia Cutis Congenita-Gastrointestinal),조한슨-블리자드 증후군(Johanson-Blizzard Syndrome),",주로 두피의 크고 작은 결손이 발생 / 때로는 몸통과 팔 다리 등의 여러 부위의 피부가 결손됨,바이러스 감염 / 자궁내 혈관종 / 양막 유착증 / 임신중 약물복용 / 유전적 요인등,산과적 문진 / 육안적 소견,국소치료 / 수술요법 
540,비뇨생식기계통의 질환(N00-N99),선천성 핀란드형 신장증,Congenital Finnish nephrosis,"Congenital nephrotic syndrome, Finnish type,Nephrotic syndrome, type 1; Finnish congenital nephrosis,",단백뇨 및 단백의 소실에 따른 각종 신증후군 증상,NPHS1 유전자의 돌연변이,,비수술적 및 수술적 치료 
541,출생전후기에 기원한 특정 병태(P00-P96),선천성 헤르페스바이러스 [단순헤르페스] 감염,Congenital herpesviral [herpes simplex] infection,",","수포, 발진, 경련, 다발성 장기부전",단순포진바이러스 감염,"분자유전학적(PCR), EIA, 바이러스배양",항바이러스제(acyclovir)
542,"선천 기형,변형 및 염색체 이상(Q00-Q99)",선천성 횡격막탈장,Congenital diaphragmatic hernia,"가로막탈장,","호흡곤란, 청색증",횡격막기형,"엑스선 사진, 심장초음파 검사, 염색체 검사",인공호흡기 치료
543,"선천 기형,변형 및 염색체 이상(Q00-Q99)",선천성 후비공 폐쇄,congenital choanal atresia,",","청색증, 호흡곤란, 충혈, 콧물","협인두막 파열 실패, 구개골 수직 및 수평돌기의 파생물, 비정상적 중배엽이 후비공 형성에 장애 유발, 일부 인자로 인한 중배엽(Mesodermal)의 형성 오류","카테터(Catheter) 비강 내 삽입 후 통과 유무, 조영제 비강 내 주입 후 방사선 촬영, 비내시경 검사, 전산화 단층 촬영","구개부 교정, 내시경적 시술, 스텐트 삽입술"
544,"선천 기형,변형 및 염색체 이상(Q00-Q99)",선천실핏줄확장대리석피부증,Cutis marmorata telangiectatica congenita ,"congenital generalized phlebectasia(congenital generalized phlebectasia),nevus vascularis reticularis(nevus vascularis reticularis),선천성 그물울혈반(congenital livedo reticularis),van Lohuizen syndrome (van Lohuizen syndrome ),","망상형의 청자색 반 및 모세혈관 확장, 연조직과 골격계 형성부전 및 비대",잘 알려져 있지 않으며 대개 산발적으로 발생 ,임상적 진단 ,"다른 동반 기형 유무 관찰 ,  필요시 색소레이저 "
545,출생전후기에 기원한 특정 병태(P00-P96),선천톡소포자충증,Congenital toxoplasmosis,"Toxoplasma embryofetopathy,Toxoplasma embryopathy,","신경학적 증상, 눈의 이상, 청각 이상",산모의 임신기간 및 임신 전 6개월 내의 톡소플라즈마의 첫 감염,,항생제
546,신생물(C00-D48),섬유성 조직구증,Fibrous histiocytoma,"피부섬유종(Dermatofibroma),경화혈관종(Sclerosing hemangioma),황색육아종(Xanthogranuloma),섬유황색종(Fibroxanthoma),악성 섬유조직구증(Malignant fibrous histiocytoma),","대부분 무증상, 혹",특발성,"조직검사, 영상검사","수술, 방사선치료, 항암치료"
547,근육골격계통 및 결합조직의 질환(M00-M99),섬유이형성증,Fibrous dysplasia,"McCune-Albright syndrome,","골통증, 골절, 골변형",Gs (stimulatory G protein) 의 α-subunit (GSα) 의 유전자의 변이,"단순 방사선 촬영, CT, MRI","비스포스포네이트, 칼슘, 비타민 D, 수술"
548,"내분비,영양 및 대사 질환(E00-E90)",성선기능저하증,Hypogonadism,"저성선자극호르몬성 성선기능저하증(Hypoganodotropic hypogonadism),고성선자극호르몬성 성선기능저하증(Hyperganodotropic hypogonadism),일차성 성선기능저하증(primary hypogonadism),이차성 성선기능저하증(secondary hypogonadism),","골격계 이상, 색맹, 성선기능 저하증, 불임증, 성적 발달이 지연, 저신장, 입술갈림증, 입천장갈림증, 후각의 심한 장애","LH,FSH의 혈청 농도가 떨어져 성호르몬의 분비가 저하되므로 성선기능에 장애가 오는 2차성 성선기능저하증과 성선 자체의 이상으로 성선기능저하증이 오는 일차성 성선기능저하증이 원인","골연령, 성선자극호르몬 및 성호르몬, 다른 뇌하수체호르몬과 부신피질호르몬의 측정, 염색체 검사, 뇌하수체, 시상하부 및 성선(난소 및 고환)의 영상검사",호르몬 대체 요법
549,근육골격계통 및 결합조직의 질환(M00-M99),성인발병 스틸병,Adult-onset Still’s disease,"성인 발병성 스틸병(adult Stills disease ),위슬러-판코니 증후군( Wissler-Fanconi syndrome),","고열, 관절통, 발진, 인후통","정확한 원인은 미상이나 감염성원인, 면역원성 요인, 유전적 요인들이 제안되고 있음",임상증상 및 다른 유사질환의 배제,"비스테로이드 항염제 ,  부신 피질 스테로이드 ,  면역조절제"
550,호흡기계통의 질환(J00-J99),성인호흡곤란증후군,Adult respiratory distress syndrome,"급성호흡곤란증후군(Acute respiratory distress syndrome),","호흡수 증가, 호흡곤란, 저산소증, 기침, 빠른 맥박수 "," 폐의 직접 손상(폐 감염, 위 내용물 흡인, 익사, 약제 부작용, 독성가스 흡입 등), 전신작용으로 폐 손상을 일으키는 질환(패혈증, 외상성 쇼크에 따른 대량 수혈 등)","단순 흉부 X선 촬영, 흉부 전산화 단층 촬영, 동맥혈 가스분석 검사, 기관지폐포세척술","원인질환 치료, 심폐기능 유지를 위한 보조적인 치료-인공호흡기 치료, 약물치료"
551,신경계통의 질환(G00-G99),세가와 증후군,Segawa syndrome,"Autosomal Dominant Segawa Syndrome,Autosomal Dominant Dopa-responsive Dystonia(DRD),GTP Cyclohydrolase 1-Deficinet Dopa-Responsive Dystonia,Segawa Disease,","근육긴장이상, 척추전만증, 휜 발, 근육강직, 파킨슨씨병의 유사한 증상","GCH-1유전자 변이, 상염색체 우성 유전","임상 평가, 자세한 검진 기록, 뇌척수액 검사, 유전상담","약물 치료, 유전 상담, 기타 완화 치료"
552,혈액 및 조혈기관의 질환과 면역기전을 침범하는 특정장애(D50-D89),세망조직구종(거대세포),Reticulohistiocytoma(giant-cell),"유상피 조직구종(Epithelioid histiocytoma),","피부, 피하의 종괴",종양,조직검사,"자연 치유, 수술적 제거"
553,혈액 및 조혈기관의 질환과 면역기전을 침범하는 특정장애(D50-D89),세바스티안 증후군,Sebastian syndrome,"Macrothrombocytopenia with leukocyte inclusions,Sebastian platelet syndrome ,","비출혈, 월경과다, 출혈반",염색체 22번의 장완 12~13에 위치한 MYH9 유전자의 돌연변이,"말초혈액도말검사, 면역형광법, 질환 관련 유전자 검사",특별한 치료 필요 없음
554,"내분비,영양 및 대사 질환(E00-E90)",셀레니움관련 대사질환,Selenium deficiency,",","심근병증, 용혈성 빈혈, 갑상선 기능 저하","유전자 결함, 위장관 질환으로 인한 흡수 장애",혈중 농도 검사,"식사요법, 셀레니움 보충"
555,"선천 기형,변형 및 염색체 이상(Q00-Q99)",소뇌무발생,Cerebellar agenesis,"Cerebellar aplasia,Cerebellar hemiagenesis,Cerebellar hypoplasia,isolated cerebellar agenesis,subtotal cerebellar agenesis,","협응 운동 장애, 비자발적 안구 운동, 학습 장애",원인 미상,뇌영상 검사,"대증적, 지지적 치료"
556,근육골격계통 및 결합조직의 질환(M00-M99),소아 특발성 관절염,Juvenile idiopathic arthritis    ,"소아 특발성 관절염(Adolescence rheumatoid arthritis ),소아 류마티스 관절염(Juvenile rheumatoid arthritis),연소기 만성 관절염(Juvenile Chronic Arthritis),","관절의 뻣뻣한 느낌, 손상된 관절에 열감, 발열, 부종, 통증, 파행(절룩거림)","정확한 원인은 알려지지 않았으나 유전적 소인을 가진 개인의 비정상적인 면역 반응, 즉 자가면역반응으로 추정됨  ","증상 이완 기간, X-선 검사, 일반 혈액검사,  류마티스 인자 검사(Rheumatoid factor testing), 적혈구 침강속도(ESR), 항핵항체(Antinuclear antibody: ANA) 검사,  CRP, ASO 검사","약물치료, 물리치료, 작업치료"
557,정신 및 행동 장애(F00-F99),소아기 붕괴성 장애,Childhood disintegrative disorder,"헬러 증후군,붕괴정신병,","언어 기술 상실, 사회적 기술의 상실, 자기-관리 기술의 상실, 대변과 방광 조절의 상실, 놀이 기술의 상실, 운동 기술의 상실, 사회적 상호작용의 장애, 의사소통의 장애, 반복적 행동 장애","원인 불명, 다른 질병에 따른 소아기 붕괴성 장애 발병.",진단 기준에 따른 진단.,"약물 치료, 행동 치료, 물리 치료, 언어 치료, 작업 치료, 심리 치료."
558,신경계통의 질환(G00-G99),소아기의 진행성 연수마비[파지오-론데],Progressive bulbar palsy of childhood [Fazio-Londe],"파지오-론데병(Fazio-londe disease),","구음장애, 부정확한 발음, 섭식장애, 안검하수, 얼굴 근육의 약화",운동 뉴런들의 미분화 및 신경제거(degeneration),"근전도계, 근육 평가, 신경계 검사 ","명확한 치료방법 없음, 대증 치료, 보조 치료"
559,신경계통의 질환(G00-G99),소아성 교대성 편마비,Alternating Hemiplegia of Childhood,"교대성 편마비(AHC),교대성 편마비 증후군(Alternating Hemiplegia Syndrome),",일시적이고 빈번한 마비,"ATP1A2 유전자의 돌연변이에 의한 상염색체 우성 유전, 출생 전, 동안, 또는 후에 뇌의 반구체 한쪽의 외상, 부상  ",뇌파검사,"대증요법, 지지요법"
560,"선천 기형,변형 및 염색체 이상(Q00-Q99)",소이증(小耳症),Microtia,"작은귀증,무이증,",선천성 소이증은 태아 초기에 귀를 형성하는 조직이 덜 발달되어 초래되는 기형이다.,"주로 안면이 발생하는 과정 중에 국소 출혈 등으로 인해 귀의 발생에 관여하는 제1, 제2 새궁의 형성부전에 의한 것이다.",한쪽 또는 양쪽의 귀가 정상보다 훨씬 작고 모양이 변형되어 있는 기형,
561,"선천 기형,변형 및 염색체 이상(Q00-Q99)",소토스 증후군,Sotos syndrome,"대뇌성 거인증(Cerebral giantism),","특징적인 얼굴모양, 학습장애, 소아기의 과도한 성장",NSD1 유전자의 돌연변이나 결실,"형광동소보합(fluorescence in situ hybridization:FISH) , 유전자 분석","대증요법 , 수술 , 유전상담"
562,"선천 기형,변형 및 염색체 이상(Q00-Q99)",속질낭종신질환 ,Medullary cystic kidney disease,",","다뇨, 빈혈, 고혈압, 요독증","MCKD1, MCKD2 유전자의 돌연변이",유전자 검사,"탈수와 전해질의 불균형을 교정, 말기신부전시 신장이식"
563,"선천 기형,변형 및 염색체 이상(Q00-Q99)",손발톱무릎뼈 증후군,Nail patella syndrome,"퐁 병(Fong Disease),유전성 손톱 뼈 이형성증(Hereditary Onychoosteodysplasia (HOOD)),손톱 뼈 이형성증(Onychoosteodysplasia),터너-카이저 증후군손톱(Turner-Kieser Syndrome),무릎뼈 증후군의 약어(NPS),","손톱 결함, 무릎 뼈 이상, 팔굼치 이상, 엉덩이뼈 돌기, 손등주름 감소, 근위지간 관절 젖힘, 새끼손가락 측만지증, 박리뼈연골염, 활액 주름(Synovial plicae), 전방십자인대의 결여, 초기 퇴행성 관절염, 외반첨족(Equinovalgus), 내반첨족(Equinovarus), 외반구족(Dalcaneovalgus), 내반 구족(Dalcaneovarus), 과뒤굽힘(Hyperdorsiflexion), 평발, 허리앞굽음증, 척추측만증, 척추앞전위증(Spondylolisthesis), 척추분리증(Spondylolysis), 오목 가슴, 마른 체형, 신부전증, 단백뇨, 미세 구조적 이상, 개방각녹내장(Open-angle glaucoma), 고안압증(ocular hypertension), 녹내장, 홍채색소 변성, 변비, 과민성대장증후군, 고통과 온도에 둔감, 간헐적 무감각, 저림, 화끈감, 간질, 혈액순환 장애, 치아의 약함, 부서진 치아, 얇은 치아 사기질.",염색체 9q34에 위치하는 LMX1B 유전자의 돌연변이,"특징적인 임상소견, 안과 검사, 혈압, 소변 검사, MRI, 초음파,분자유전학적 검사",각 증상에 따른 대증 치료.
564,"선천 기형,변형 및 염색체 이상(Q00-Q99)",쇄골두개골 형성이상,Cleidocranial Dysplasia,"쇄골두개골 이골증(Cleidocranial Dysostosis),마리-세인톤 병(Marie-Sainton Disease),","쇄골의 부분적 형성 장애로 양쪽 어깨가 붙는다.머리 두개골 형성의 지연(Delay), 두개골 사이 공간의 지연된 봉합(Suture), 좁고 비정상적 형태의 골반과 치골, 흉부기형, 이(치아)돋이의 지연, 전반적으로 작은 키, 높은 아치 모양(High palate)의 입천장, 넓은 골반 관절, 아래 턱 관절의 야합 상실, 불규칙적 길이의 손가락 내반고(Coxa vara)","상염색체 우성 유전, 산발적, 유전적 결함에 의한 막내 골화(Intramembranous ossification)의 이상","임상적 진찰로 쇄골의 형성 지연, 방사선 검사","외과적 수술, 치과적 치료, 귀염증 관찰, 언어치료"
565,"선천 기형,변형 및 염색체 이상(Q00-Q99)",쇼그렌-라손 증후군,Sjogrene Larsson syndrome,"Ichthyosis,Spastic Neurologic Disorder,Mental Retardation,SLS ,","정신지체, 언어발달 지연, 비늘증, 경련, 마비",상염색체 열성 유전,"유전학적 검사, FALDH 지방 알코올 측정, DNA 검사, 영상 검사","증상적 치료, 지지적 치료"
566,"선천 기형,변형 및 염색체 이상(Q00-Q99)",쇼트 증후군,SHORT Syndrome,"성장 지연-리거 기형(Growth Retardation-Rieger Anomaly),리거 기형과 작은 체격을 동반한 부분 지방이영양증(Lipodystrophy, partial, with Rieger anomaly and short stature),리거 기형-성장 지연(Reiger Anomaly-Growth Retardation),작은 체격-과신전-리거 기형-이돋이 지연(Short Stature-Hyperextensibility-Rieger anomaly-Teething delay),","작은 키, 관절의 과신전, 탈장, 안구 함몰, 리거기형(Riger anormaly), 이돋이 지연, 녹내장, 작은턱(소하악증) ",상염색체 우성으로 추측 ,"신체 소견, 진단 방사선 검사를 근거  ","특별한 치료법은 아직까지 없음, 대증요법, 지지요법  "
567,신생물(C00-D48),수모세포종,Medulloblastoma,",","뇌압상승, 수두증, 운동장애, 뇌신경마비 ","원인불명, 유전적 소인 (10%)","신체검진, 영상 검사, 골수 검사, 뇌척수액 검사, 혈액 검사, 병리 검사","수술, 항암화학요법, 방사선요법"
568,피부 및 피부밑조직의 질환(L00-L99),수포성유사천포창,Bullous pemphigoid,"물집유사천포창(Bullous  Pemphigoid),양성 천포창(Benign Pemphigus),노년성 천포창(Old Age Pemphigus),유사천포창(Pemphigoid),노년성 포진상 피부염(Senile Dermatitis Herpetiformis),","피부의 긴장성 또는 팽만수포, 소양증, 점막의 수포와 미란  ","정확한 원인은 알려져 있지 않음, 자가면역체계에 관련된 질환으로 여겨짐. ","임상소견, 피부조직검사, 조직면역학적 검사","부신피질 호르몬제, 면역억제제, 설폰제, 면역글로불린 정주, 혈장 반출요법, Tetracycline 과 Minocycline, 국소 부신피질 호르몬제 외용요법 또는 병변내 주사요법  "
569,"내분비,영양 및 대사 질환(E00-E90)",숙신알데히드 탈수소효소 결핍증,Succinic Semialdehyde Dehydrogenase deficiency,"Succinic semialdehyde dehydrogenase deficiency,SSADH deficiency,4-Hydroxybutyric aciduria,GABA metabolic defect,Gamma-Hydroxybytyric aciduria,",정신운동지연,상염색체 열성유전,"소변, 혈장, 뇌척수액의 유기산 분석, 유전자 검사",vigabatrin
570,혈액 및 조혈기관의 질환과 면역기전을 침범하는 특정장애(D50-D89),순환성 호중구감소,Cyclic neutropenia,"주기성 호중구 감소증(Cyclic Neutropenia),Cyclic neutropenia의 약어, 주기성 호중구감소증(CN),주기 조혈(Cyclic Hematopoiesis),주기성 호중구감소증(Periodic Neutropenia),","반복적인 감염(발열, 오한, 구내염, 구강 점막 궤양, 인두염 등), 피부ㆍ소화기계ㆍ호흡기 등의 감염","상염색체 우성으로 유전,  호중구 엘라스타제(Neutrophil elastase: ELA2) 유전자의 변이","혈액검사,  골수생검","호중구 생성 촉진 약제,  감염 치료(항생제투여 및 구강과 치아 관리),  대증요법(Symptomatic treatment),  지지요법(Supp호중구 생성 촉진 약제,  감염 치료(항생제투여 및 구강과 치아 관리),  대증요법(Symptomatic treatment),  지지요법(Supportive therapy), 유전상담"
571,"내분비,영양 및 대사 질환(E00-E90)",쉬한 증후군,Sheehan’s Syndrome,"쉬이한 증후군(Sheehan Syndrome),산후 뇌하수체저하증(Postpartum Hypopituitarism),산후 범뇌하수체저하증(Postpartum Panhypopituitarism),산후 뇌하수체저하 증후군(Postpartum Panhypopituitary Syndrome),산후 뇌하수체 괴사(Postpartum Pituitary Necrosis),시몬스병(Simmonds Disease),","갑상선기능저하증, 근육의 힘을 상실, 만성적인 저혈압, 부신기능저하증, 분만후에도 젖이 분비되지 않음, 성선",뇌하수체 전엽의 손상,"전산화 단층 촬영술(CT),  혈액검사","호르몬대체요법(히드로코티손, 프레드니손)"
572,"내분비,영양 및 대사 질환(E00-E90)",쉰들러 병,Schindler disease,"alpha-N-acetylgalactosaminidase 결핍증,alpha-galactosidase B 결핍증, Kanzaki disease,기타 라이소좀 축적병,","경련, 시력상실, 정신지체, 행동장애","상염색체열성유전, alpha-N-acetylgalactosaminidase (alpha-NAGA) 유전자의 돌연변이 ","가족력의 확인, 소변에서 올리고당 증가, 혈액에서 alpha-N-acetylgalactosaminidase 활성도 감소, alpha-N-acetylgalactosaminidase 유전자의 돌연변이 검사, 직장 부위의 조직검사(1형의 경우) ","특별한 치료 방법이 없음, 대증치료 "
573,소화기계통의 질환(K00-K93),슈바크만 다이아몬드 증후군,Shwachman?Diamond syndrome,"선천성 췌장 지방종증(lipomatosis of pancreas, congenital),슈바크만 보디안 증후군(Shwachman?Bodian syndrome),슈바크만 다이아몬드 오스키 증후군(Shwachman?Diamond-Oski syndrome),슈바크만 증후군(Shwachman syndrome),","지방변증, 성장장애, 저신장, 잦은 감염, 골격계 이상","상염색체열성유전, SBDS 유전자(7q11.22)의 돌연변이","저신장, 가족력, 혈액검사, 대변검사, 유전자검사, MRI","소아내분비의사, 소아소화기의사, 소아혈액종양의사, 정형외과의사의 협진에 의한 대증 치료"
574,근육골격계통 및 결합조직의 질환(M00-M99),슈발츠-얌펠 증후군,Schwartz-Jampel syndrome,"chondrodystrophic myotonia,myotonic chondrodysplasia,","관절 구축, 근육 강직, 마스크 같은 무표정한 얼굴, 작고 가느스름한 눈, 사지단축과 만곡",HSPG2 유전자 돌연변이,"방사선학적 검사 ,  유전자 검사",증상에 따른 대중 요법
575,"선천 기형,변형 및 염색체 이상(Q00-Q99)",스미스-렘리-오피츠 증후군,Smith-Lemli-Opitz syndrome,"스미스-렘리-오피쯔 증후군(Smith Lemli Opitz Syndrome),DHCR7 유전자 이상(DHCR7 abnormality),처음으로 발견된 세 명의 환자들 이름의 첫 글자를 따서 만든 약어 RSH 증후군(RSH Syndrome),","성장 지연, 작은 머리(소두증), 정신 지체, 심장기형, 다지증, 구개열(입천장 갈림증: Cleft palate), 안검하수증, 백내장, 사시, 들창코, 작은 턱, 경련, 유문협착증, 청력 상실","DHCR7 유전자의 변이, 상염색체 열성으로 유전  ","혈액검사, X-선검사, 전산화 단층 촬영술(CT), 자기공명영상(MRI), 분자유전학검사, 산전초음파검사,","콜레스테롤의 보충(Cholesterol supplementation),  수술요법,  보청기,  유전상담"
576,"선천 기형,변형 및 염색체 이상(Q00-Q99)",스미스-마제니스 증후군,Smith-Magenis syndrome ,"Chromosome 17, interstitial deletion 17p, Smith-Magenis chromosome region (SMCR),","구개열, 근시, 단두증, 상악전돌증, 저신장, 중간안면저형성, 지능저하, 행동장애","17p11.2 결실, RAI1 유전자 결실 혹은 돌연변이 ","염색체 검사,  FISH 검사,  RAI1 유전자 염기서열 분석","의학전문가로 구성된 팀의 협조적인 노력 필요 ,  대증요법 ,  수술 ,  유전상담 "
577,피부 및 피부밑조직의 질환(L00-L99),스위트 증후군,Sweet Syndrome,"급성 발열성 호중구성 피부증(Febrile Neutrophilic Dermatosis, Acute),스위트 증후군(Sweet Syndrome,SS),Gomm-Button 병(Gomm-Button disease),","압통성 홍반성 구진 또는 판,  발열, 전신증상","특발성, 악성종양, 약물",조직검사,코르티코스테로이드
578,눈 및 눈 부속기의 질환(H00-H59),스타르가르트병,Stargardt’s disease,"스타가르트 황반이양증(Stargardt's Macular Dystrophy),노란점 안저(fundus flavimaculatus),Stargardt 1(STGD),Macular degeneration, juvenile,Macular dystrophy with flecks,Retinal dystrophy, early-onset severe,","시력저하, 색맹현상",유전자이상,안과적검사,"유전상담, 저시력 보조기, 보존적치료"
579,"선천 기형,변형 및 염색체 이상(Q00-Q99)",스터지-베버(-디미트리) 증후군,Sturge-Weber(-Dimitri) syndrome,"뇌삼차신경 혈관종증 (Encephalotrigeminal angiomatosis ), 뇌 및 얼굴의 혈관종 ( encephalofacial angiomatosis ), 스터지-베버-디미트리증후군 ( Sturge-Weber-Dimitri syndrome ), 신경피부증후군 ( neurocutaneous disorder ), 혈관종 ( angiomas ), 연수막 혈관종 ( leptomeningeal angiomas ), 포트-와인 얼룩점  ( port-wine stain ), PWS , cutaneous angioma,","경련, 녹내장, 눈의 비대(우안증), 두통, 발달장애 및 정신지체, 얼굴의 반점(얼굴 피부의 혈관종), 일시적인 편마비 ",뇌조직 주변의 잔여 배아 혈관과 그들의 2차적 영향에 의한 발생,"CT, MRI 등의 영상학적 검사","신경학적 증상에 대한 치료 ,  녹내장의 치료 ,  피부혈관기형의 레이저 치료"
580,비뇨생식기계통의 질환(N00-N99),스테로이드 저항성 신증후군,Steroid resistant nephrotic syndrome,",","부종, 복부 통증, 고혈압, 복막염과 같은 심각한 감염",미상,"신장조직검사, 유전자검사","고용량 스테로이드, 칼시뉴린 억제제, 마이코페놀레이트 모페틸, 리툭시맙"
581,피부 및 피부밑조직의 질환(L00-L99),스티븐스-존슨증후군,Stevens-Johnson syndrome,"독성표피 괴사용해(Toxic epidermal necrolysis; TEN, Lyells syndrome),표피 괴사용해(Epidermal necrolysis),SJS/TEN overlap,Erythema multiforme major,","급격히 커지는 반점상 발진이 특징으로 표적 병변(Target lesion)과 한 군데 이상의 점막 침범, 발진이 합쳐진 홍반과 괴사 및 물집성 표피박리. 피부 이외의 장기에도 침범 가능"," 대부분 약물이 원인이며 기타 감염,  백신접종,  이식편대숙주반응 등도 원인이 될 수 있으며 원인을 알 수 없는 경우는 5% 미만임.","임상 증상을 중심으로 하여 환자의 과거력,  피부조직 검사 또는 혈액검사 소견을 참조하여 진단","원인 물질 회피,  수액 요법,  이차감염치료,  면역억제요법 및 항염증요법 등"
582,"선천 기형,변형 및 염색체 이상(Q00-Q99)",스티클러 증후군,Sticklers syndrome ,"관절 안구증(arthro-ophthalmopathy),유전성 진행성 관절안병증(Hereditary progressive arthro-ophthalmopathy),","골격계 이상, 구개열, 특징적인 얼굴 생김새, 청력소실, 눈의 이상 소견",2형 콜라젠을 만드는 COL2A1 유전자의 돌연변이,"안과적 검사 ,  동반 전신 질환에 대한 문진 및 검진 ,  유전자 검사 ",국소치료 
583,"내분비,영양 및 대사 질환(E00-E90)",시스타타이오닌뇨증,Cystathioninuria,"cystathionine gamma-lyase deficiency,","걸음걸이의 이상, 지능저하, 응고장애",CTH유전자 돌연변이,"혈중 호모시스테인과 메타이오닌의 증가, 소변 아미노산검사",피리독신
